Rank;Ticker;Company;Industry;Market cap ($M);
120;ITW;Illinois Tool Works;Specialty Industrial Machinery;63024;
121;SO;Southern;Utilities – Regulated Electric;62635;
122;EQIX;Equinix;REIT – Specialty;61309;
123;ECL;Ecolab;Specialty Chemicals;60202;
124;ADI;Analog Devices;Semiconductors;59284;
125;GPN;Global Payments;Specialty Business Services;58879;
126;HCA;HCA Healthcare;Medical Care Facilities;58876;
127;TWTR;Twitter;Internet Content & Information;58823;
128;MMC;Marsh & McLennan;Insurance Brokers;58165;
129;D;Dominion Energy;Utilities – Diversified;58028;
130;APD;Air Products & Chemicals;Chemicals;57633;
131;COF;Capital One Financial;Credit Services;55175;
132;VRTX;Vertex Pharmaceuticals;Biotechnology;54661;
133;EW;Edwards Lifesciences;Medical Devices;54320;
134;BSX;Boston Scientific;Medical Devices;53716;
135;MCO;Moody’s;Financial Data & Stock Exchanges;52649;
136;KLAC;KLA;Semiconductor Equipment & Materials;52080;
137;AON;Aon;Insurance Brokers;51918;
138;REGN;Regeneron Pharmaceuticals;Biotechnology;51499;
139;EMR;Emerson Electric;Specialty Industrial Machinery;51044;
140;MET;MetLife;Insurance – Life;50879;
141;ETN;Eaton Corp;Specialty Industrial Machinery;49824;
142;PGR;Progressive;Insurance – Property & Casualty;49817;
143;HUM;Humana;Healthcare Plans;49647;
144;DG;Dollar General;Discount Stores;49056;
145;MNST;Monster Beverage;Beverages – Non-Alcoholic;48662;
146;NOC;Northrop Grumman;Aerospace & Defense;48494;
147;ALGN;Align Tech;Medical Devices;48430;
148;FCX;Freeport-McMoRan;Copper;48033;
149;WM;Waste Management;Waste Management;47585;
150;GD;General Dynamics;Aerospace & Defense;46752;
151;NEM;Newmont;Gold;46433;
152;IDXX;IDEXX Laboratories;Diagnostics & Research;45972;
153;F;Ford Motor;Auto Manufacturers;45914;
154;STZ;Constellation Brands;Beverages – Wineries & Distilleries;45017;
155;SNPS;Synopsys;Software – Infrastructure;44481;
156;KMB;Kimberly-Clark;Household & Personal Products;44068;
157;LVS;Las Vegas Sands;Resorts & Casinos;43889;
158;DOW;Dow;Chemicals;43704;
159;MCHP;Microchip Technology;Semiconductors;43684;
160;TEL;TE Connectivity;Electronic Components;43432;
161;KHC;Kraft Heinz;Packaged Foods;43231;
162;EBAY;eBay;Internet Retail;42775;
163;ROST;Ross Stores;Apparel Retail;42750;
164;BIIB;Biogen;Drug Manufacturers – General;42549;
165;WBA;Walgreens Boots Alliance;Pharmaceutical Retailers;42458;
166;MAR;Marriott Intl;Lodging;42292;
167;EA;Electronic Arts;Electronic Gaming & Multimedia;41929;
168;APTV;Aptiv;Auto Parts;41878;
169;CMG;Chipotle Mexican Grill;Restaurants;41765;
170;EXC;Exelon;Utilities – Diversified;40953;
171;CDNS;Cadence Design Systems;Software – Application;40720;
172;APH;Amphenol;Electronic Components;40664;
173;CTSH;Cognizant Tech Solns;Information Technology Services;40385;
174;ROP;Roper Technologies;Specialty Industrial Machinery;40249;
175;PSA;Public Storage;REIT – Industrial;40200;
176;BAX;Baxter International;Medical Instruments & Supplies;39296;
177;A;Agilent Technologies;Diagnostics & Research;39260;
178;SYY;Sysco;Food Distribution;38989;
179;DXCM;DexCom;Diagnostics & Research;38891;
180;AEP;American Electric Power;Utilities – Regulated Electric;38812;
181;LHX;L3Harris Technologies;Aerospace & Defense;38763;
182;DLR;Digital Realty Trust;REIT – Office;38437;
183;DD;DuPont de Nemours;Chemicals;38198;
184;JCI;Johnson Controls Intl;Engineering & Construction;38073;
185;BK;Bank of New York Mellon;Asset Management;37909;
186;SLB;Schlumberger;Oil & Gas Equipment & Services;37502;
187;TROW;T. Rowe Price Group;Asset Management;37204;
188;TRV;Travelers Companies;Insurance – Property & Casualty;37181;
189;INFO;IHS Markit;Consulting Services;36922;
190;EOG;EOG Resources;Oil & Gas E&P;36810;
191;VIAC;ViacomCBS;Entertainment;36513;
192;IQV;IQVIA Holdings;Diagnostics & Research;36438;
193;MSCI;MSCI;Financial Data & Stock Exchanges;36407;
194;AIG;American Intl Gr;Insurance – Diversified;36313;
195;CTAS;Cintas;Specialty Business Services;36245;
196;CMI;Cummins;Specialty Industrial Machinery;36184;
197;SPG;Simon Property Group;REIT – Retail;36088;
198;TT;Trane Technologies;Specialty Industrial Machinery;36069;
199;SRE;Sempra Energy;Utilities – Diversified;35965;
200;PH;Parker Hannifin;Specialty Industrial Machinery;35585;
201;BF.B;Brown-Forman;Beverages – Wineries & Distilleries;35483;
202;HPQ;HP;Computer Hardware;35026;
203;XLNX;Xilinx;Semiconductors;34971;
204;PSX;Phillips 66;Oil & Gas Refining & Marketing;34677;
205;ANSS;Ansys;Software – Application;34512;
206;ALXN;Alexion Pharmaceuticals;Biotechnology;34426;
207;GIS;General Mills;Packaged Foods;34417;
208;KMI;Kinder Morgan;Oil & Gas Midstream;34056;
209;IFF;Intl Flavors & Fragrances;Specialty Chemicals;34040;
210;MPC;Marathon Petroleum;Oil & Gas Refining & Marketing;33871;
211;CNC;Centene;Healthcare Plans;33738;
212;CTVA;Corteva;Agricultural Inputs;33691;
213;PCAR;PACCAR;Farm & Heavy Construction Machinery;33664;
214;ZBH;Zimmer Biomet Holdings;Medical Devices;33240;
215;AFL;Aflac;Insurance – Life;32788;
216;PRU;Prudential Financial;Insurance – Life;32772;
217;LYB;LyondellBasell Industries;Specialty Chemicals;32719;
218;XEL;Xcel Energy;Utilities – Regulated Electric;32511;
219;PPG;PPG Industries;Specialty Chemicals;32442;
220;CARR;Carrier Global;Building Products & Equipment;32402;
221;PAYX;Paychex;Staffing & Employment Services;32023;
222;SWKS;Skyworks Solutions;Semiconductors;32013;
223;YUM;Yum Brands;Restaurants;31855;
224;VFC;VF;Apparel Manufacturing;31681;
225;HLT;Hilton Worldwide Holdings;Lodging;31519;
226;HSY;Hershey;Confectioners;31499;
227;ALL;Allstate;Insurance – Property & Casualty;31382;
228;BBY;Best Buy Co;Specialty Retail;31267;
229;ORLY;O’Reilly Automotive;Specialty Retail;31181;
230;ADM;Archer-Daniels Midland;Farm Products;31169;
231;TDG;TransDigm Gr;Aerospace & Defense;31166;
232;MSI;Motorola Solutions;Communication Equipment;30990;
233;LUV;Southwest Airlines;Airlines;30691;
234;VRSK;Verisk Analytics;Consulting Services;30624;
235;GLW;Corning;Electronic Components;29658;
